x,y
426568.5,914119.5
426571.5,914119.5
426574.5,914119.5
426577.5,914119.5
426580.5,914119.5
426583.5,914119.5
426586.5,914119.5
426589.5,914119.5
426592.5,914119.5
426595.5,914119.5
426598.5,914119.5
426601.5,914119.5
426604.5,914119.5
426607.5,914119.5
426610.5,914119.5
426613.5,914119.5
426616.5,914119.5
426619.5,914119.5
426622.5,914119.5
426625.5,914119.5
426628.5,914119.5
426631.5,914119.5
426634.5,914119.5
426637.5,914119.5
426640.5,914119.5
426643.5,914119.5
426646.5,914119.5
426649.5,914119.5
426652.5,914119.5
426655.5,914119.5
426658.5,914119.5
426661.5,914119.5
426664.5,914119.5
426667.5,914119.5
426670.5,914119.5
426673.5,914119.5
426676.5,914119.5
426679.5,914119.5
426682.5,914119.5
426685.5,914119.5
426688.5,914119.5
426691.5,914119.5
426694.5,914119.5
426697.5,914119.5
426700.5,914119.5
426703.5,914119.5
426706.5,914119.5
426709.5,914119.5
426712.5,914119.5
426715.5,914119.5
426718.5,914119.5
426721.5,914119.5
426724.5,914119.5
426727.5,914119.5
426730.5,914119.5
426733.5,914119.5
426736.5,914119.5
426739.5,914119.5
426742.5,914119.5
426745.5,914119.5
426748.5,914119.5
426751.5,914119.5
426754.5,914119.5
426757.5,914119.5
426760.5,914119.5
426763.5,914119.5
426766.5,914119.5
426769.5,914119.5
426772.5,914119.5
426775.5,914119.5
426778.5,914119.5
426781.5,914119.5
426784.5,914119.5
426787.5,914119.5
426790.5,914119.5
426793.5,914119.5
426796.5,914119.5
426799.5,914119.5
426802.5,914119.5
426805.5,914119.5
426808.5,914119.5
426811.5,914119.5
426814.5,914119.5
426817.5,914119.5
426820.5,914119.5
426823.5,914119.5
426826.5,914119.5
426829.5,914119.5
426832.5,914119.5
426835.5,914119.5
426838.5,914119.5
426841.5,914119.5
426844.5,914119.5
426847.5,914119.5
426850.5,914119.5
426853.5,914119.5
426856.5,914119.5
426859.5,914119.5
426862.5,914119.5
426865.5,914119.5
426868.5,914119.5
426871.5,914119.5
426874.5,914119.5
426877.5,914119.5
426880.5,914119.5
426883.5,914119.5
426886.5,914119.5
